"date";"requests"
2016-07-24 05:00:00;304130
2016-07-24 06:00:00;363087
2016-07-24 07:00:00;484628
2016-07-24 08:00:00;636092
2016-07-24 09:00:00;849157
2016-07-24 10:00:00;980534
2016-07-24 11:00:00;1024542
2016-07-24 12:00:00;1025911
2016-07-24 13:00:00;1018697
2016-07-24 14:00:00;1042641
2016-07-24 15:00:00;1164367
2016-07-24 16:00:00;1138113
2016-07-24 17:00:00;1068245
2016-07-24 18:00:00;1008380
2016-07-24 19:00:00;1041234
2016-07-24 20:00:00;1055459
2016-07-24 21:00:00;1041867
2016-07-24 22:00:00;856922
2016-07-24 23:00:00;644606
2016-07-25 00:00:00;458166
2016-07-25 01:00:00;350980
2016-07-25 02:00:00;285293
2016-07-25 03:00:00;265464
2016-07-25 04:00:00;252257
2016-07-25 05:00:00;338369
2016-07-25 06:00:00;539311
2016-07-25 07:00:00;869323
2016-07-25 08:00:00;1126505
2016-07-25 09:00:00;1321206
2016-07-25 10:00:00;1417614
2016-07-25 11:00:00;1397854
2016-07-25 12:00:00;1583694
2016-07-25 13:00:00;1621176
2016-07-25 14:00:00;1596678
2016-07-25 15:00:00;1367458
2016-07-25 16:00:00;1113221
2016-07-25 17:00:00;984481
2016-07-25 18:00:00;938010
2016-07-25 19:00:00;967414
2016-07-25 20:00:00;1006190
2016-07-25 21:00:00;995716
2016-07-25 22:00:00;793088
2016-07-25 23:00:00;589720
2016-07-26 00:00:00;442120
2016-07-26 01:00:00;345763
2016-07-26 02:00:00;279719
2016-07-26 03:00:00;283343
2016-07-26 04:00:00;296140
2016-07-26 05:00:00;387801
2016-07-26 06:00:00;602200
2016-07-26 07:00:00;927135
2016-07-26 08:00:00;1182576
2016-07-26 09:00:00;1368644
2016-07-26 10:00:00;1451312
2016-07-26 11:00:00;1623199
2016-07-26 12:00:00;2102596
2016-07-26 13:00:00;2189047
2016-07-26 14:00:00;2091367
2016-07-26 15:00:00;1871097
2016-07-26 16:00:00;1110100
2016-07-26 17:00:00;966655
2016-07-26 18:00:00;916502
2016-07-26 19:00:00;936479
2016-07-26 20:00:00;996259
2016-07-26 21:00:00;947660
2016-07-26 22:00:00;768655
2016-07-26 23:00:00;567463
2016-07-27 00:00:00;464220
2016-07-27 01:00:00;355062
2016-07-27 02:00:00;298433
2016-07-27 03:00:00;275717
2016-07-27 04:00:00;255775
2016-07-27 05:00:00;387455
2016-07-27 06:00:00;612475
2016-07-27 07:00:00;940090
2016-07-27 08:00:00;1181221
2016-07-27 09:00:00;1364946
2016-07-27 10:00:00;1493013
2016-07-27 11:00:00;1430321
2016-07-27 12:00:00;1492659
2016-07-27 13:00:00;1513849
2016-07-27 14:00:00;1547253
2016-07-27 15:00:00;1283996
2016-07-27 16:00:00;981520
2016-07-27 17:00:00;849638
2016-07-27 18:00:00;882965
2016-07-27 19:00:00;970219
2016-07-27 20:00:00;1019810
2016-07-27 21:00:00;962754
2016-07-27 22:00:00;790947
2016-07-27 23:00:00;598244
2016-07-28 00:00:00;464301
2016-07-28 01:00:00;302246
2016-07-28 02:00:00;237907
2016-07-28 03:00:00;232075
2016-07-28 04:00:00;239467
2016-07-28 05:00:00;364741
2016-07-28 06:00:00;575464
2016-07-28 07:00:00;926586
2016-07-28 08:00:00;1164972
2016-07-28 09:00:00;1360111
2016-07-28 10:00:00;1428091
2016-07-28 11:00:00;1363154
2016-07-28 12:00:00;1414211
2016-07-28 13:00:00;1424477
2016-07-28 14:00:00;1400499
2016-07-28 15:00:00;1414147
2016-07-28 16:00:00;1131555
2016-07-28 17:00:00;898993
2016-07-28 18:00:00;929043
2016-07-28 19:00:00;902782
2016-07-28 20:00:00;961830
2016-07-28 21:00:00;952574
2016-07-28 22:00:00;774692
2016-07-28 23:00:00;593645
2016-07-29 00:00:00;446089
2016-07-29 01:00:00;368790
2016-07-29 02:00:00;297987
2016-07-29 03:00:00;297094
2016-07-29 04:00:00;273625
2016-07-29 05:00:00;346468
2016-07-29 06:00:00;556528
2016-07-29 07:00:00;862083
2016-07-29 08:00:00;1096854
2016-07-29 09:00:00;1295904
2016-07-29 10:00:00;1624590
2016-07-29 11:00:00;1949199
2016-07-29 12:00:00;1917455
2016-07-29 13:00:00;1952727
2016-07-29 14:00:00;1231471
2016-07-29 15:00:00;1019100
2016-07-29 16:00:00;899629
2016-07-29 17:00:00;835949
2016-07-29 18:00:00;806378
2016-07-29 19:00:00;843575
2016-07-29 20:00:00;883999
2016-07-29 21:00:00;891687
2016-07-29 22:00:00;758492
2016-07-29 23:00:00;604113
2016-07-30 00:00:00;453238
2016-07-30 01:00:00;403691
2016-07-30 02:00:00;303748
2016-07-30 03:00:00;292598
2016-07-30 04:00:00;282437
2016-07-30 05:00:00;303884
2016-07-30 06:00:00;380221
2016-07-30 07:00:00;447564
2016-07-30 08:00:00;545701
2016-07-30 09:00:00;683066
2016-07-30 10:00:00;816471
2016-07-30 11:00:00;816685
2016-07-30 12:00:00;835324
2016-07-30 13:00:00;827262
2016-07-30 14:00:00;836515
2016-07-30 15:00:00;839625
2016-07-30 16:00:00;826748
2016-07-30 17:00:00;786420
2016-07-30 18:00:00;737940
2016-07-30 19:00:00;731841
2016-07-30 20:00:00;764098
2016-07-30 21:00:00;825270
2016-07-30 22:00:00;733019
2016-07-30 23:00:00;581952
2016-07-31 00:00:00;471860
2016-07-31 01:00:00;374400
2016-07-31 02:00:00;301230
2016-07-31 03:00:00;279447
2016-07-31 04:00:00;253728
2016-07-31 05:00:00;266150
2016-07-31 06:00:00;319538
2016-07-31 07:00:00;446155
2016-07-31 08:00:00;624877
2016-07-31 09:00:00;796745
2016-07-31 10:00:00;942442
2016-07-31 11:00:00;976938
2016-07-31 12:00:00;984450
2016-07-31 13:00:00;1032229
2016-07-31 14:00:00;967848
2016-07-31 15:00:00;1027730
2016-07-31 16:00:00;1065268
2016-07-31 17:00:00;1042876
2016-07-31 18:00:00;1022944
2016-07-31 19:00:00;1036305
2016-07-31 20:00:00;1064624
2016-07-31 21:00:00;1010054
2016-07-31 22:00:00;818207
2016-07-31 23:00:00;666018
