ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
20,250,16,0.25,4,Avg (sec),0.008,0.002,0.004,0.005,7.422,6.253,0.008,0.002,0.002,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.006,0.002
20,250,16,0.25,4,SD (sec),0.008,0.002,0.003,0.008,4.975,4.662,0.008,0.002,0.002,0.007,0.008,0.002,0.002,0.008,0.007,0.008,0.008,0.008,0.002
20,250,16,0.25,4,Mix % (take failure into account),0.0127,0.0129,0.1133,0.0952,0.2256,0.026,0.0262,0.0307,0.1005,0.0307,0.1129,0.0262,0.0307,0.0435,0.013,0.0307,0.0128,0.0128,0.0435
21,150,8,0.25,4,Avg (sec),0.007,0.002,0.004,0.005,1.12,0.569,0.008,0.002,0.002,0.005,0.005,0.002,0.004,0.005,0.003,0.006,0.006,0.005,0.002
21,150,8,0.25,4,SD (sec),0.008,0.002,0.003,0.008,2.237,1.418,0.008,0.002,0.002,0.008,0.008,0.002,0.003,0.008,0.008,0.008,0.008,0.007,0.002
21,150,8,0.25,4,Mix % (take failure into account),0.0132,0.0132,0.1129,0.096,0.2256,0.0261,0.0261,0.0304,0.0998,0.0303,0.1131,0.0261,0.0303,0.0435,0.0132,0.0303,0.0132,0.0132,0.0435
22,250,8,0.25,2,Avg (sec),0.008,0.002,0.004,0.005,25.937,15.65,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.006,0.005,0.005,0.001
22,250,8,0.25,2,SD (sec),0.008,0.002,0.002,0.007,30.776,22.253,0.008,0.001,0.001,0.007,0.007,0.001,0.002,0.007,0.007,0.008,0.007,0.007,0.001
22,250,8,0.25,2,Mix % (take failure into account),0.013,0.0128,0.1139,0.0953,0.2233,0.0253,0.0256,0.0312,0.1011,0.0311,0.1135,0.0256,0.0311,0.0439,0.0127,0.0311,0.0129,0.0129,0.0437
23,100,16,0.25,1,Avg (sec),0.008,0.002,0.004,0.005,0.7,0.451,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
23,100,16,0.25,1,SD (sec),0.008,0.002,0.002,0.008,1.136,0.843,0.008,0.001,0.002,0.008,0.008,0.002,0.002,0.008,0.008,0.008,0.008,0.008,0.002
