ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
67,200,0.5,0.25,1,SD (sec),0.197,0.005,0.492,0.494,0.458,0.608,0.21,0.008,0.007,0.491,0.396,0.015,0.491,0.492,0.007,0.491,0.393,0.398,0.008
67,200,0.5,0.25,1,Mix % (take failure into account),0.0131,0.0131,0.1129,0.0957,0.226,0.026,0.026,0.0305,0.0998,0.0305,0.1131,0.026,0.0305,0.0436,0.0131,0.0305,0.0131,0.0131,0.0436
68,300,0.5,0.25,1,Avg (sec),0.008,0.002,0.004,0.006,25.255,18.533,0.008,0.002,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.006,0.001
68,300,0.5,0.25,1,SD (sec),0.007,0.001,0.004,0.009,13.912,12.099,0.008,0.003,0.002,0.009,0.009,0.002,0.002,0.007,0.008,0.008,0.009,0.01,0.001
68,300,0.5,0.25,1,Mix % (take failure into account),0.0127,0.0132,0.1131,0.0954,0.2238,0.0259,0.0258,0.0308,0.1002,0.0307,0.1135,0.0258,0.0307,0.0443,0.0133,0.0307,0.0129,0.0129,0.0443
69,50,0.5,0.5,4,Avg (sec),0.007,0.001,0.004,0.005,0.01,0.02,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
69,50,0.5,0.5,4,SD (sec),0.007,0.001,0.002,0.007,0.016,0.022,0.008,0.001,0.001,0.007,0.008,0.001,0.001,0.008,0.008,0.007,0.007,0.008,0.002
69,50,0.5,0.5,4,Mix % (take failure into account),0.0132,0.0132,0.1131,0.0961,0.226,0.0264,0.0264,0.0301,0.0999,0.03,0.1129,0.0265,0.0301,0.0433,0.0131,0.0301,0.0132,0.0132,0.0432
70,50,0.5,0.5,2,Avg (sec),0.007,0.001,0.004,0.005,0.009,0.015,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
70,50,0.5,0.5,2,SD (sec),0.007,0.001,0.002,0.008,0.015,0.016,0.008,0.001,0.002,0.008,0.008,0.002,0.002,0.008,0.007,0.007,0.007,0.008,0.001
70,50,0.5,0.5,2,Mix % (take failure into account),0.0133,0.0133,0.1128,0.0962,0.2259,0.0263,0.0262,0.0302,0.0996,0.0301,0.113,0.0263,0.0302,0.0434,0.0132,0.0301,0.0133,0.0133,0.0434
71,150,0.5,0.5,4,Avg (sec),0.013,0.002,0.069,0.07,0.051,0.079,0.013,0.002,0.002,0.067,0.03,0.002,0.069,0.07,0.003,0.068,0.028,0.026,0.002
71,150,0.5,0.5,4,SD (sec),0.079,0.003,0.247,0.247,0.202,0.256,0.073,0.002,0.002,0.242,0.154,0.002,0.245,0.246,0.007,0.242,0.149,0.14,0.002
71,150,0.5,0.5,4,Mix % (take failure into account),0.013,0.013,0.1132,0.0955,0.2262,0.0262,0.0262,0.0304,0.1002,0.0304,0.1129,0.0262,0.0304,0.0434,0.013,0.0304,0.013,0.013,0.0434
72,200,1,0.25,2,Avg (sec),0.053,0.002,0.398,0.403,0.435,0.643,0.054,0.002,0.002,0.405,0.195,0.002,0.402,0.407,0.003,0.404,0.199,0.201,0.002
72,200,1,0.25,2,SD (sec),0.207,0.002,0.488,0.489,1.072,1.2,0.21,0.002,0.003,0.49,0.392,0.003,0.489,0.49,0.008,0.489,0.395,0.396,0.004
72,200,1,0.25,2,Mix % (take failure into account),0.0132,0.0132,0.1127,0.096,0.2257,0.0259,0.026,0.0305,0.0996,0.0304,0.1132,0.026,0.0304,0.0436,0.0132,0.0305,0.0132,0.0132,0.0436
73,250,1,0.5,4,Avg (sec),0.209,0.113,0.574,0.57,0.464,0.765,0.211,0.106,0.106,0.574,0.349,0.106,0.572,0.562,0.044,0.577,0.349,0.348,0.106
73,250,1,0.5,4,SD (sec),0.238,0.093,0.509,0.51,0.473,0.641,0.243,0.086,0.086,0.508,0.413,0.085,0.509,0.509,0.036,0.51,0.412,0.409,0.086
73,250,1,0.5,4,Mix % (take failure into account),0.0132,0.0132,0.1128,0.0959,0.226,0.026,0.026,0.0304,0.0997,0.0304,0.1131,0.026,0.0304,0.0436,0.0131,0.0304,0.0132,0.0132,0.0435
